streak#,date,startTime,endTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
777,20180215,03:34 pm,03:54 pm,20,2.8,VaporGlove2_02,4,Cloudy
776,20180214,08:29 am,09:05 am,36,4.8,VaporGlove2_02,1,Cloudy
775,20180213,08:47 am,09:24 am,37,4.8,VaporGlove2_02,2,Sunny
774,20180212,08:13 am,08:44 am,31,4.1,VaporGlove2_02,1,Sunny
773,20180211,07:50 am,09:38 am,108,14,VaporGlove2_02,1,Sunny
772,20180210,08:35 am,09:05 am,30,3.7,VaporGlove2_02,0,Sunny
771,20180209,08:18 am,08:56 am,38,5,VaporGlove2_02,10,Cloudy
770,20180208,08:37 am,09:16 am,37,4.8,VaporGlove2_02,10,Cloudy
769,20180207,05:42 pm,06:15 pm,33,4.1,VaporGlove2_02,11,Cloudy
768,20180206,07:57 am,08:33 am,36,4.8,VaporGlove2_02,7,Cloudy
767,20180205,05:51 pm,06:24 pm,33,4.1,VaporGlove2_02,7,Rain
766,20180204,05:17 pm,06:32 pm,75,10,VaporGlove2_02,7,Cloudy
765,20180203,10:03 am,10:24 am,21,3.2,VaporGlove2_02,9,Rain
764,20180202,08:12 am,08:44 am,32,4.1,VaporGlove2_02,10,Rain
763,20180201,05:02 pm,05:35 pm,33,4.2,VaporGlove2_02,7,Rain
762,20180131,08:27 am,09:04 am,37,4.8,VaporGlove2_02,6,Cloudy
761,20180130,06:17 pm,06:50 pm,33,4.2,VaporGlove2_02,9,Clear
760,20180129,06:27 pm,07:00 pm,33,4.2,VaporGlove2_02,7,Clear
759,20180128,08:45 am,10:27 am,102,12.1,VaporGlove2_02,7,Rain
758,20180127,06:48 pm,07:04 pm,16,2.0,VaporGlove2_02,7,Cloudy
757,20180126,05:50 am,06:18 am,28,3.8,VaporGlove2_02,7,Clear
756,20180125,08:27 am,08:59 am,32,4.1,VaporGlove2_02,9,Cloudy
755,20180124,07:40 pm,08:12 pm,32,4.1,VaporGlove2_02,5,Cloudy
754,20180123,07:07 am,07:39 am,32,4.1,VaporGlove2_02,5,Rain
753,20180122,07:27 am,07:59 am,32,4.1,VaporGlove2_02,8,Cloudy
752,20180121,05:15 pm,05:40 pm,25,3.4,VaporGlove2_02,5,Cloudy
751,20180120,08:20 am,09:30 am,50,6.1,VaporGlove2_02,5,Cloudy
750,20180119,05:14 pm,05:48 pm,34,4.3,VaporGlove2_02,8,Clear
749,20180118,09:55 pm,10:20 pm,25,3.3,VaporGlove2_02,4,Clear
748,20180117,08:20 am,08:52 am,32,4.2,VaporGlove2_02,6,Rain
747,20180116,07:51 am,08:23 am,32,4.3,VaporGlove2_02,5,Rain
746,20180115,07:58 am,08:33 am,35,4.4,VaporGlove2_02,6,Sunny
745,20180114,08:41 am,09:47 am,75,10.3,VaporGlove2_02,5,Sunny
744,20180113,08:30 am,08:50 am,20,2.6,VaporGlove2_02,7,Cloudy
743,20180112,11:46 am,12:10 pm,24,3.4,VaporGlove2_02,5,Rain
742,20180111,08:49 am,09:21 am,32,4.2,VaporGlove2_02,5,Rain
741,20180110,08:32 am,09:10 am,38,4.8,VaporGlove2_02,5,Cloudy
740,20180109,08:12 am,08:49 am,37,4.8,VaporGlove2_02,7,Rain
739,20180108,09:00 am,09:37 am,37,4.8,VaporGlove2_02,6,Sunny
738,20180107,07:34 am,08:51 am,77,10,VaporGlove2_02,6,Rain
737,20180106,08:45 am,09:08 am,23,3.4,VaporGlove2_02,7,Rain
736,20180105,08:29 am,09:05 am,36,4.8,VaporGlove2_02,5,Rain
735,20180104,08:23 am,09:00 am,37,4.8,VaporGlove2_02,2,Cloudy
734,20180103,08:22 am,08:53 am,31,4.1,VaporGlove2_02,1,Sunny
733,20180102,05:00 pm,05:32 pm,32,4.1,VaporGlove2_02,5,Cloudy
732,20180101,08:57 am,09:22 am,25,3.3,VaporGlove2_02,0,Sunny
